Rebecca Hammond Lard
Bruce Larkin
Philip Larkin
Claudia Lars
Else Lasker-Schler
Lasus of Hermione
Evelyn Lau
James Laughlin
Ann Lauterbach
Comte de Lautramont
Dorianne Laux
Christine Lavant
D. H. Lawrence
Henry Lawson
Louisa Lawson
Robert Lax
Laxmi Prasad Devkota
Henryka azowertwna
Edward Lear
Stanisaw Jerzy Lec
Joanna Lech
Jan Lecho
Francis Ledwidge
David Lee
Dennis Lee
David Lehman
gnes Lehczky
Eino Leino
Brad Leithauser
Alexander Lenard
Sue Lenier
Lalitha Lenin
Krystyna Lenkowska
Charlotte Lennox
John Leonard
Giacomo Leopardi
Mikhail Lermontov
Ben Lerner
Bolesaw Lemian
Rika Lesser
Gotthold Ephraim Lessing
Denise Levertov
Dana Levin
Philip Levine
Larry Levis
D. A. Levy
William Levy
Oswald LeWinter
Alun Lewis
C. S. Lewis
Gwyneth Lewis
J. Patrick Lewis
Saunders Lewis
Wyndham Lewis
Li Houzhu
Jos Lezama Lima
Tim Liardet
Li Bai
Jerzy Liebert
Li Jiao
Li Qingzhao
Li Shangyin
Tim Lilburn
Anne Morrow Lindbergh
Jack Lindeman
Sarah Lindsay
Rossy Evelin Lima
Vachel Lindsay
Ewa Lipska
Lszl Listi
Jzef obodowski
Terry Locke
Thomas Lodge
Iain Lom
Henry Wadsworth Longfellow
Michael Longley
Federico Garca Lorca
Audre Lorde
Richard Lovelace
Amy Lowell
James Russell Lowell
Robert Lowell
Maria White Lowell
Solomon Lwisohn
Mina Loy
Lu You
Stanisaw Herakliusz Lubomirski
Gherasim Luca
Lucan
Edward Lucie-Smith
Gaius Lucilius
Lucilius Junior
Lucretius
Fitz Hugh Ludlow
Edith Gymri Ludowyk
Luo Binwang
Thomas Lux
Mario Luzi
John Lydgate
John Lyly
Sir David Lyndsay of the Mount
Sandford Lyne
George Lyttelton
Thomas Babington Macaulay
George MacBeth
Norman MacCaig
Elizabeth Roberts MacDonald
Hugh MacDiarmid
George MacDonald
Sorley MacLean
Gwendolyn MacEwen
Antonio Machado
Arthur Machen
Compton Mackenzie
Archibald MacLeish
Aonghas MacNeacail
Louis MacNeice
Hector Macneill
James Macpherson
Haki R. Madhubuti
Jayanta Mahapatra
John Gillespie Magee
Eric Magrane
Derek Mahon
Rudolf Maister
Gajanan Digambar Madgulkar
Jnos Majlth
Clarence Major
Desanka Maksimovi
Majeed Amjad
Antoni Malczewski
Marcin Malek
Josh Malihabadi
Madayyagari Mallana
Stephane Mallarme
David Mallet
Thomas Malory
Goffredo Mameli
Osip Mandelstam
James Clarence Mangan
Bill Manhire
Marcus Manilius
Maurice Manning
Ruth Manning-Sanders
Robert Mannyng
Chris Mansell
Jakobe Mansztajn
Manuchehri
Alessandro Manzoni
Sndor Mrai
Ausis March
Morton Marcus
Mareez
Paul Mariani
Marie de France
Filippo Tommaso Marinetti
Giambattista Marino
E. A. Markham
Edwin Markham
ore Markovi Koder
Christopher Marlowe
Clment Marot
Don Marquis
Edward Garrard Marsh
John Marston
Jos Mart
